frame,track_id,x,y,w,h,class_id,conf
660,167,3837.76,809.12,3952.74,1034.29,0,0.9
660,16,2804.53,788.51,2937.19,1027.49,2,0.84
670,1,2653.74,612.02,2753.83,806.49,1,0.81
670,44,2320.67,479.45,2412.3,651.19,0,0.94
670,2,1456.54,509.19,1542.97,675.21,0,0.76
670,182,3802.6,785.7,3919,1022.89,0,0.96
680,1,2653.62,565.19,2748.14,750.25,0,0.81
680,196,1896.37,529.2,1986.41,696.39,0,0.88
690,196,1906.21,483.33,1990.31,642.45,0,0.93
700,196,1929.94,430.35,2004.82,569.59,0,0.67
720,222,2603.17,514.73,2693.92,682.1,0,0.84
720,44,2335.63,410.3,2417.79,562.43,0,0.88
720,196,1950.68,349.5,2011.74,460.15,0,0.38
730,222,2590.19,473.69,2677.38,640.61,0,0.78
740,222,2566.68,432.85,2648.02,585.25,0,0.71
750,222,2544,405.38,2617.26,539.71,0,0.55
750,248,938.47,331.1,996.11,429.36,0,0.69
850,295,846.17,562.56,930.65,735.69,0,0.59
870,304,1499.19,533.37,1591.83,712.73,0,0.81
870,295,832.98,612.42,921.3,775.32,1,0.48
890,304,1502.17,454.85,1586.23,606.31,0,0.93
900,304,1483.23,413.41,1559.37,550.68,0,0.77
920,325,672.44,530.78,795.4,691.09,0,0.7
920,167,3851,591.69,4007.89,785.58,0,0.82
930,325,685.36,538.62,799.46,692.89,0,0.62
940,325,675.51,545.22,805.71,688.79,0,0.27
950,325,675.23,544.08,806.12,694.24,0,0.3
960,325,669.66,539.72,804.61,692.49,0,0.81
960,16,2786.39,655.95,2934.68,860.82,0,0.92
970,325,666.49,538.45,804.13,692.25,0,0.83
980,325,665.95,538.9,802.95,690.9,0,0.81
990,325,665.33,540.41,802.54,690.41,0,0.81
1000,325,664.62,539.56,802.13,689.88,0,0.82
1010,325,664.24,535.95,802.22,689.52,0,0.79
1020,325,665.49,532.97,801.43,688.96,0,0.63
1030,325,667.32,529.83,799.25,689.5,0,0.77
1040,325,666.7,535.14,800.18,687.69,0,0.73
1050,325,666.41,533.19,798.98,689.95,0,0.86
1050,382,2541.75,511.44,2619.04,669,0,0.61
1050,385,2495.15,424.88,2561.97,554.53,0,0.67
1060,325,666.84,536.19,800.06,690.28,0,0.88
1070,325,667.48,536.33,801.64,690.84,0,0.84
1080,325,667.77,534.82,802.1,690.37,0,0.84
1090,325,668.64,533.99,802.47,689.79,0,0.81
1100,325,669.8,533.77,802.6,689.68,0,0.8
1110,325,671.04,534.11,802.35,687.88,0,0.76
1130,325,670.72,529.22,798.88,686.31,0,0.73
1150,426,901.89,507.62,993.58,669.14,0,0.54
1150,325,670.52,532.45,801.3,686.41,0,0.76
1160,325,670.8,537.83,800.92,687.74,0,0.82
1170,325,669.42,540.09,801.75,689.8,0,0.3
1180,325,671.35,542.06,800.24,689.31,0,0.68
1200,325,669.2,531.89,801.86,688.37,0,0.61
